Sep 22 14:06:03 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:38 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:39 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:41 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:42 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:44 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:46 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:48 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:06:49 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] SHORT Triggered | C1(O:0.00493 C:0.00492) C2(O:0.00492 C:0.00492) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:02 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:05 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:07 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:08 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:10 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:12 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:13 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:15 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:17 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:18 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:20 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:22 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:23 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:25 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:27 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:29 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:30 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:32 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:33 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:35 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:37 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:38 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:40 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:42 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:43 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:45 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:47 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:48 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:50 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:52 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:53 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:55 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:57 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:07:59 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:08:00 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:08:03 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00492) C2(O:0.00492 C:0.00491) | KC_U:0.00495 KC_L:0.00492 | MA3 Slope:-0.00001
Sep 22 14:10:02 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00491) C2(O:0.00491 C:0.00490) | KC_U:0.00494 KC_L:0.00491 | MA3 Slope:-0.00000
Sep 22 14:10:03 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00491) C2(O:0.00491 C:0.00490) | KC_U:0.00494 KC_L:0.00491 | MA3 Slope:-0.00000
Sep 22 14:10:05 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00491) C2(O:0.00491 C:0.00490) | KC_U:0.00494 KC_L:0.00491 | MA3 Slope:-0.00000
Sep 22 14:10:07 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00491) C2(O:0.00491 C:0.00490) | KC_U:0.00494 KC_L:0.00491 | MA3 Slope:-0.00000
Sep 22 14:10:08 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00491) C2(O:0.00491 C:0.00490) | KC_U:0.00494 KC_L:0.00491 | MA3 Slope:-0.00000
Sep 22 14:10:10 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00491) C2(O:0.00491 C:0.00490) | KC_U:0.00494 KC_L:0.00491 | MA3 Slope:-0.00000
Sep 22 14:10:11 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00491) C2(O:0.00491 C:0.00490) | KC_U:0.00494 KC_L:0.00491 | MA3 Slope:-0.00000
Sep 22 14:10:13 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00491) C2(O:0.00491 C:0.00490) | KC_U:0.00494 KC_L:0.00491 | MA3 Slope:-0.00000
Sep 22 14:10:15 htlocalserver bash[2999950]: [ENTRY_CONTINUATION_SINGLE_K] SHORT Triggered | C1(O:0.00492 C:0.00491) C2(O:0.00491 C:0.00490) | KC_U:0.00494 KC_L:0.00491 | MA3 Slope:-0.00000
Sep 22 14:11:06 htlocalserver bash[2999950]: [ENTRY_BREAKOUT_CONFIRMED] LONG Triggered | C1(O:0.18264 C:0.18644) C2(O:0.18647 C:0.18848) | KC_U:0.18735 KC_L:0.18173 | MA3 Slope:0.00192
Sep 22 14:36:03 htlocalserver bash[3015242]: [ENTRY_BREAKOUT_BAR3_V10_LOCKED] SHORT Triggered | C1(O:0.18524 C:0.18368) C2(O:0.18376 C:0.18149) | KC_U:0.18874 KC_L:0.18276 | MA3 Slope:-0.00112
Sep 22 14:56:07 htlocalserver bash[3022226]: [ENTRY_BREAKOUT_BAR3_V10_LOCKED] LONG Triggered | C1(O:0.00488 C:0.00488) C2(O:0.00488 C:0.00489) | KC_U:0.00488 KC_L:0.00486 | MA3 Slope:0.00001
Sep 22 14:56:24 htlocalserver bash[3022226]: [EXIT_LIVE_REJECTION_SHADOW] LONG 1000PEPE/USDT: Upper Shadow = 0.55ATR >= 0.5
Sep 22 14:58:03 htlocalserver bash[3022226]: [ENTRY_BREAKOUT_BAR3_V10_LOCKED] SHORT Triggered | C1(O:0.17506 C:0.15987) C2(O:0.15971 C:0.14961) | KC_U:0.17965 KC_L:0.16030 | MA3 Slope:-0.00642
Sep 22 14:58:19 htlocalserver bash[3022226]: [ENTRY_BREAKOUT_BAR3_V10_LOCKED] SHORT Triggered | C1(O:0.17506 C:0.15987) C2(O:0.15971 C:0.14961) | KC_U:0.17965 KC_L:0.16030 | MA3 Slope:-0.00642
Sep 22 14:58:28 htlocalserver bash[3022226]: [ENTRY_BREAKOUT_BAR3_V10_LOCKED] SHORT Triggered | C1(O:0.17506 C:0.15987) C2(O:0.15971 C:0.14961) | KC_U:0.17965 KC_L:0.16030 | MA3 Slope:-0.00642
